orderid,latitude,longitude,estimateddeliverytime
1552989,36.984471300000003,-121.963229,205
1553000,37.785848199999997,-122.4790952,23
1552879,37.787812000000002,-122.4113704,366
1553193,32.804252900000002,-117.251267,3
1553089,37.348322000000003,-121.94412699999999,170
1553195,37.748306100000001,-122.4471839,684
1553115,37.763239499999997,-122.4009824,161
1553165,37.800141000000004,-122.2329438,114
1553110,37.467162999999999,-122.25042000000001,101
1553222,37.004275999999997,-121.954678,50
1553437,37.802379000000002,-122.4370363,157
1553456,37.784801000000002,-122.48456590000001,54
1553412,33.986041999999998,-118.4420695,152
1553507,37.739963199999998,-122.4795702,155
1553528,37.681660700000002,-122.1286382,290
1553571,37.748035999999999,-122.429596,107
1553506,37.696201000000002,-122.48192899999999,79
1553563,37.340071000000002,-122.0186448,40
1553700,37.745635,-122.4113225,384
1553720,37.570645399999997,-122.30662940000001,207
1553898,37.8663697,-122.2750715,195
1553894,37.802170099999998,-122.4141968,52
1553745,37.7719582,-122.426073,96
1553942,37.887320500000001,-122.2706803,100
1553974,37.808220499999997,-122.2436447,145
1554018,37.826504999999997,-122.28082999999999,51
1553981,37.7811734,-122.4840095,10
1553995,37.785348800000001,-122.46975260000001,1
1554095,37.752873600000001,-122.4118035,2
1554200,37.778692300000003,-122.2681281,7
1554275,37.800894,-122.43654429999999,265
1554238,36.967399999999998,-122.0320012,7
1554333,37.790607000000001,-122.4262691,152
1554370,37.741017999999997,-122.43067689999999,41
1554429,37.825146799999999,-122.26341309999999,39
1554460,37.551938,-122.3379436,132
1554253,37.790829199999997,-122.4091531,23
1554406,37.614185599999999,-122.0368843,3
1554524,37.779547200000003,-122.2883259,237
1554601,37.820498299999997,-122.2535876,81
1554661,37.663477499999999,-122.4009183,112
1554709,37.802911000000002,-122.4437148,273
1554738,37.513631099999998,-122.2696129,157
1554770,37.757120800000003,-122.4365447,219
1554771,37.787653200000001,-122.387484,178
1554829,37.819650099999997,-122.25717040000001,792
1554824,37.785190100000001,-122.245429,17
1554826,37.326215699999999,-121.9666726,116
1554879,37.6273269,-122.4092993,416
1554860,36.975287399999999,-122.0165337,88
1554820,33.8650764,-118.26859810000001,19
1554955,37.817177800000003,-122.25333689999999,92
1554996,37.8757746,-122.26395220000001,800
1554812,37.867580599999997,-122.2632383,213
1554988,34.0092371,-118.4738121,95
1554979,37.765760800000002,-122.15993109999999,2
1554907,37.413450699999999,-122.0727876,122
1554960,37.796049699999998,-122.40904020000001,229
1555059,37.641276599999998,-122.081243,8
1555056,37.7941,-122.423959,159
1554998,37.549695999999997,-122.31478,209
1555129,37.778610399999998,-122.4226408,285
1555156,37.470168000000001,-122.227689,182
1555145,37.758268000000001,-122.476418,0
1555128,37.413566099999997,-122.138685,141
1555168,37.724259000000004,-122.43692900000001,282
1555226,37.309530600000002,-121.7743588,0
1555389,37.566137699999999,-122.25711250000001,142
1555340,32.797476000000003,-117.19466319999999,91
1555379,37.717498599999999,-122.4054084,215
1555438,37.778495499999998,-122.4452809,85
1555395,37.767380099999997,-122.45901449999999,365
1555491,37.767380099999997,-122.45901449999999,1063
1555483,36.983092599999999,-122.02233680000001,21
1555522,37.763297999999999,-122.509021,58
1555504,37.7963187,-122.40234700000001,204
1555412,33.574024000000001,-117.681358,287
1555721,37.785010700000001,-122.3897547,119
1555696,37.778284900000003,-122.463757,120
1555790,37.482227899999998,-122.2178959,306
1555797,37.7888898,-122.3980914,96
1555841,37.798071499999999,-122.4292789,1266
1555837,32.742995000000001,-117.1486937,149
1555896,37.663705,-122.43686599999999,148
1555999,37.713919199999999,-122.45531200000001,242
1556077,37.782230499999997,-122.4662802,117
1556141,37.760784899999997,-122.2637038,682
